"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".03","0.030","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","32","CHLORIDE","","","","65.6","65.6","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".01","0.010","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","20","AMMONIA-N","","","","-.01","-0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","7","Temperature","","","","20.8","20.8","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.35","1.4","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","590","590","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","0","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","",".017","0.017","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","10","10.0","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","5.1","5.10","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","32","CHLORIDE","","","","46.3","46.3","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","19","NITRITE-N","","","",".005","0.005","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".012","0.012","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.3","7.30","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0089","","21-DEC-1977 11:30","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".028","0.028","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","7","Temperature","","","","19.4","19.4","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.12","1.1","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","13.9","13.9","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","32","CHLORIDE","","","","46.3","46.3","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".017","0.017","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","20","AMMONIA-N","","","","-.01","-0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","",".008","0.008","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","7.7","7.70","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","630","630","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","0","",""
"CAMB","L28I","0174","","05-JAN-1978 14:20","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.6","7.60","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.65","1.6","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","32","CHLORIDE","","","","36.6","36.6","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".025","0.025","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","7","Temperature","","","","21.1","21.1","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","4.8","4.8","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","520","520","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","0","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","20","AMMONIA-N","","","","-.01","-0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.9","7.90","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0257","","18-JAN-1978 14:45","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","9","9.00","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","7","Temperature","","","","16.7","16.7","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","",".69","0.7","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","5.8","5.8","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","32","CHLORIDE","","","","54.4","54.4","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".016","0.016","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","20","AMMONIA-N","","","",".01","0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","2","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","8.6","8.60","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","2","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","680","680","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","0","",""
"CAMB","L28I","0352","","02-FEB-1978 12:50","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.5","7.50","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","2","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.42","1.4","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","32","CHLORIDE","","","","57.4","57.4","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".013","0.013","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","7","Temperature","","","","17.6","17.6","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","4.7","4.7","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","710","710","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","0","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","20","AMMONIA-N","","","",".02","0.02","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","2","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.5","7.50","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","2","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0423","","15-FEB-1978 10:45","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","9.8","9.80","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","2","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","15","PH, LAB","","","","8.24","8.24","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","",".88","0.9","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","32","CHLORIDE","","","","55.4","55.4","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","20","AMMONIA-N","","","","-.01","-0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","670","670","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","0","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","7","Temperature","","","","20.8","20.8","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","9.8","9.80","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","2","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","7","7.0","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","1","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".015","0.015","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0514","","01-MAR-1978 12:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","3","MON","3","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","8.5","8.50","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","2","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","680","680","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","0","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.6","7.60","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","2","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","7","Temperature","","","","23.6","23.6","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","13.6","13.6","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","32","CHLORIDE","","","","59.1","59.1","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".014","0.014","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","3","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","20","AMMONIA-N","","","","-.01","-0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","2","",""
"CAMB","L28I","0614","","15-MAR-1978 12:15","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.5","1.5","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","2","MON","1","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".024","0.024","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","3","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","690","690","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","0","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","7","Temperature","","","","22.9","22.9","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","1","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","3","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","32","CHLORIDE","","","","60.2","60.2","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","1","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","",".013","0.013","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","3","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","20","AMMONIA-N","","","",".01","0.01","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","2","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".009","0.009","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","3","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","19","NITRITE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","3","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.71","1.7","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","1","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.6","7.60","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","2","",""
"CAMB","L28I","0700","","28-MAR-1978 12:45","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","6.1","6.10","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","4","MON","2","",""
